ORGANISATION NAME,EFEFCTIVE DATE,DIRECTORATE,SUPPLIER NAME,DATE PAID,AMOUNT (£),PURPOSE,TRANSACTION No.
ROCHDALE BOROUGH COUNCIL,05-Dec-24,PROPERTY AND HIGHWAYS,TRANSPORT FOR GREATER MANCHESTER,05-Dec-24,"15,588.45 ",MINOR BUILDING WORKS,V002054211
ROCHDALE BOROUGH COUNCIL,05-Dec-24,ADULT CARE LCO FUNCTIONS,STANNAH LIFT SERVICES LTD,05-Dec-24,"6,813.00 ",MINOR BUILDING WORKS,V002092734
ROCHDALE BOROUGH COUNCIL,17-Dec-24,ECONOMY DIRECTORATE,ELEMENT SUSTAINABILITY LTD,17-Dec-24,845.00 ,PROFESSIONAL FEES,V002191195
ROCHDALE BOROUGH COUNCIL,10-Dec-24,ECONOMY DIRECTORATE,CLICK 24 LTD,10-Dec-24,375.00 ,REPAIRS & ALTS OF BUILDINGS,V002222343
ROCHDALE BOROUGH COUNCIL,20-Dec-24,ECONOMY DIRECTORATE,NPOWER COMMERCIAL GAS,20-Dec-24,56.82 ,ELECTRICITY,V002222501
ROCHDALE BOROUGH COUNCIL,20-Dec-24,ECONOMY DIRECTORATE,NPOWER COMMERCIAL GAS,20-Dec-24,41.95 ,ELECTRICITY,V002222649
ROCHDALE BOROUGH COUNCIL,20-Dec-24,ECONOMY DIRECTORATE,NPOWER COMMERCIAL GAS,20-Dec-24,46.08 ,ELECTRICITY,V002222650
ROCHDALE BOROUGH COUNCIL,20-Dec-24,ECONOMY DIRECTORATE,NPOWER COMMERCIAL GAS,20-Dec-24,54.53 ,ELECTRICITY,V002222651
ROCHDALE BOROUGH COUNCIL,12-Dec-24,NEIGHBOURHOODS AND ENVIRONMENT,WOLSELEY UK LIMITED,12-Dec-24,155.89 ,BUILDING MATERIALS,V002225301
ROCHDALE BOROUGH COUNCIL,06-Dec-24,PROPERTY AND HIGHWAYS,CALEDONIAN LIFTS MANCHESTER LTD,06-Dec-24,90.00 ,PROPERTY - WORKS ELEMENT,V002229504
ROCHDALE BOROUGH COUNCIL,02-Dec-24,RESOURCES,VALTECH LTD,02-Dec-24,447.12 ,EXTERNAL CONTRACTED PRINTING,V002230384
ROCHDALE BOROUGH COUNCIL,12-Dec-24,NEIGHBOURHOODS AND ENVIRONMENT,WOLSELEY UK LIMITED,12-Dec-24,55.85 ,BUILDING MATERIALS,V002234563
ROCHDALE BOROUGH COUNCIL,11-Dec-24,RESOURCES,FORBES SOLICITORS,11-Dec-24,0.00 ,INPUT VAT -  ADJUSTMENTS,V002234706
ROCHDALE BOROUGH COUNCIL,12-Dec-24,NEIGHBOURHOODS AND ENVIRONMENT,WOLSELEY UK LIMITED,12-Dec-24,18.99 ,BUILDING MATERIALS,V002234738
ROCHDALE BOROUGH COUNCIL,23-Dec-24,PROPERTY AND HIGHWAYS,TRANSPORT FOR GREATER MANCHESTER,23-Dec-24,275.00 ,MINOR BUILDING WORKS,V002235723
ROCHDALE BOROUGH COUNCIL,27-Dec-24,EARLY HELP AND SCHOOLS,TTS GROUP LIMITED,27-Dec-24,34.99 ,EQUIPMENT - GENERAL,V002236555
ROCHDALE BOROUGH COUNCIL,12-Dec-24,NEIGHBOURHOODS AND ENVIRONMENT,WOLSELEY UK LIMITED,12-Dec-24,10.39 ,BUILDING MATERIALS,V002246469
ROCHDALE BOROUGH COUNCIL,20-Dec-24,NEIGHBOURHOODS AND ENVIRONMENT,WOLSELEY UK LIMITED,20-Dec-24,78.57 ,BUILDING MATERIALS,V002246499
ROCHDALE BOROUGH COUNCIL,05-Dec-24,PROPERTY AND HIGHWAYS,CALEDONIAN LIFTS MANCHESTER LTD,05-Dec-24,45.00 ,PROPERTY - WORKS ELEMENT,V002246518
ROCHDALE BOROUGH COUNCIL,06-Dec-24,PROPERTY AND HIGHWAYS,CALEDONIAN LIFTS MANCHESTER LTD,06-Dec-24,45.00 ,PROPERTY - WORKS ELEMENT,V002246861
ROCHDALE BOROUGH COUNCIL,06-Dec-24,PROPERTY AND HIGHWAYS,CALEDONIAN LIFTS MANCHESTER LTD,06-Dec-24,135.00 ,PROPERTY - WORKS ELEMENT,V002248534
ROCHDALE BOROUGH COUNCIL,06-Dec-24,PROPERTY AND HIGHWAYS,CALEDONIAN LIFTS MANCHESTER LTD,06-Dec-24,45.00 ,PROPERTY - WORKS ELEMENT,V002249269
ROCHDALE BOROUGH COUNCIL,05-Dec-24,PROPERTY AND HIGHWAYS,CALEDONIAN LIFTS MANCHESTER LTD,05-Dec-24,180.00 ,PROPERTY - WORKS ELEMENT,V002256882
ROCHDALE BOROUGH COUNCIL,12-Dec-24,NEIGHBOURHOODS AND ENVIRONMENT,WOLSELEY UK LIMITED,12-Dec-24,10.61 ,BUILDING MATERIALS,V002257666
ROCHDALE BOROUGH COUNCIL,12-Dec-24,NEIGHBOURHOODS AND ENVIRONMENT,WOLSELEY UK LIMITED,12-Dec-24,3.43 ,BUILDING MATERIALS,V002258306
ROCHDALE BOROUGH COUNCIL,19-Dec-24,ADULT CARE LCO FUNCTIONS,SPOT ADVOCACY,19-Dec-24,228.80 ,FEES / COMMISSION,V002260160
ROCHDALE BOROUGH COUNCIL,03-Dec-24,RESOURCES,REDACTED - PERSONAL DATA,03-Dec-24,276.90 ,OTHER POST MORTEMS,V002261138
ROCHDALE BOROUGH COUNCIL,03-Dec-24,RESOURCES,REDACTED - PERSONAL DATA,03-Dec-24,319.00 ,OTHER HISTOLOGY,V002261138
ROCHDALE BOROUGH COUNCIL,03-Dec-24,NEIGHBOURHOODS AND ENVIRONMENT,BROWNS LADDERS AND CEILINGS LIMITED,03-Dec-24,300.00 ,REPAIRS & ALTS OF BUILDINGS,V002263183
ROCHDALE BOROUGH COUNCIL,03-Dec-24,NEIGHBOURHOODS AND ENVIRONMENT,BROWNS LADDERS AND CEILINGS LIMITED,03-Dec-24,300.00 ,REPAIRS & ALTS OF BUILDINGS,V002263183
ROCHDALE BOROUGH COUNCIL,03-Dec-24,NEIGHBOURHOODS AND ENVIRONMENT,BROWNS LADDERS AND CEILINGS LIMITED,03-Dec-24,60.00 ,REPAIRS & ALTS OF BUILDINGS,V002263183
ROCHDALE BOROUGH COUNCIL,03-Dec-24,NEIGHBOURHOODS AND ENVIRONMENT,BROWNS LADDERS AND CEILINGS LIMITED,03-Dec-24,60.00 ,REPAIRS & ALTS OF BUILDINGS,V002263183
ROCHDALE BOROUGH COUNCIL,17-Dec-24,ECONOMY DIRECTORATE,PLAN RED LTD,17-Dec-24,"1,785.00 ",CONSULTANTS FEES,V002268331
ROCHDALE BOROUGH COUNCIL,16-Dec-24,EARLY HELP AND SCHOOLS,NORTH RIDGE HIGH SCHOOL,16-Dec-24,"9,385.00 ",OTHER EST - SEN PROVISION,V002269608
ROCHDALE BOROUGH COUNCIL,02-Dec-24,RESOURCES,VALTECH LTD,02-Dec-24,612.72 ,EXTERNAL CONTRACTED PRINTING,V002269704
ROCHDALE BOROUGH COUNCIL,11-Dec-24,RESOURCES,KEOGHS LLP OFFICE ACCOUNT,11-Dec-24,0.00 ,INPUT VAT -  ADJUSTMENTS,V002272152
ROCHDALE BOROUGH COUNCIL,05-Dec-24,PROPERTY AND HIGHWAYS,PARR ROCHDALE LIMITED,05-Dec-24,25.45 ,MATERIAL - GENERAL,V002277774
ROCHDALE BOROUGH COUNCIL,16-Dec-24,ECONOMY DIRECTORATE,SHERRATT GROUP LTD,16-Dec-24,64.00 ,GROUNDS MAINTENANCE GENERAL,V002283426
ROCHDALE BOROUGH COUNCIL,13-Dec-24,NEIGHBOURHOODS AND ENVIRONMENT,OASIS UK LTD,13-Dec-24,791.30 ,TRANSACTIONS-EXPENDITURE,V002285782
ROCHDALE BOROUGH COUNCIL,03-Dec-24,ECONOMY DIRECTORATE, WALKER SIME LTD,03-Dec-24,"1,875.75 ",CONSULTANTS FEES,V002288158
ROCHDALE BOROUGH COUNCIL,06-Dec-24,PROPERTY AND HIGHWAYS,CALEDONIAN LIFTS MANCHESTER LTD,06-Dec-24,45.00 ,PROPERTY - WORKS ELEMENT,V002290007
ROCHDALE BOROUGH COUNCIL,19-Dec-24,ECONOMY DIRECTORATE,WATER PLUS,19-Dec-24,38.71 ,WATER CHARGES,V002290146
ROCHDALE BOROUGH COUNCIL,19-Dec-24,ECONOMY DIRECTORATE,WATER PLUS,19-Dec-24,332.46 ,WATER CHARGES,V002290146
ROCHDALE BOROUGH COUNCIL,12-Dec-24,EARLY HELP AND SCHOOLS,HOPWOOD HALL COLLEGE,12-Dec-24,232.00 ,ROOM HIRE,V002296522
ROCHDALE BOROUGH COUNCIL,05-Dec-24,PROPERTY AND HIGHWAYS,CALEDONIAN LIFTS MANCHESTER LTD,05-Dec-24,45.00 ,PROPERTY - WORKS ELEMENT,V002297405
ROCHDALE BOROUGH COUNCIL,17-Dec-24,RESOURCES,MARSTON HOLDINGS LIMITED,17-Dec-24,0.00 ,INPUT VAT -  ADJUSTMENTS,V002300373
ROCHDALE BOROUGH COUNCIL,13-Dec-24,NEIGHBOURHOODS AND ENVIRONMENT,OASIS UK LTD,13-Dec-24,537.57 ,TRANSACTIONS-EXPENDITURE,V002302081
ROCHDALE BOROUGH COUNCIL,16-Dec-24,NEIGHBOURHOODS AND ENVIRONMENT,SHENSTONE PROPERTIES LTD,16-Dec-24,2.73 ,RENTS,V002302440
ROCHDALE BOROUGH COUNCIL,06-Dec-24,EARLY HELP AND SCHOOLS,BRADSHAW GASS AND HOPE LLP,06-Dec-24,600.00 ,CONSULTANTS FEES,V002306319
ROCHDALE BOROUGH COUNCIL,17-Dec-24,RESOURCES,JACOBS ENFORCEMENT LTD,17-Dec-24,0.00 ,INPUT VAT -  ADJUSTMENTS,V002306688
